Date,Hour,From (Coordinates),To (Coordinates),Distance,Time (Usual),Time (Now),Time (Range)
2022-07-26,08-34,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-26,08-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,43 min,32 - 50 min
2022-07-26,08-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-26,09-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,41 min,30 - 45 min
2022-07-26,09-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-26,09-18,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,36 min,29 - 43 min
2022-07-26,09-18,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-26,09-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,28 - 41 min
2022-07-26,09-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-26,09-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,32 min,28 - 41 min
2022-07-26,09-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,26 - 39 min
2022-07-26,10-24,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-26,10-24,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-26,10-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-26,10-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-26,10-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,28 - 42 min
2022-07-26,10-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-26,11-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-26,11-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-26,11-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 42 min
2022-07-26,11-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,26 - 40 min
2022-07-26,11-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,28 - 41 min
2022-07-26,11-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-26,11-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-26,11-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,27 - 40 min
2022-07-26,12-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-26,12-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,27 - 41 min
2022-07-26,12-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-26,12-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,27 - 41 min
2022-07-26,14-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-26,14-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,27 - 43 min
2022-07-26,14-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 43 min
2022-07-26,14-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,28 - 44 min
2022-07-26,14-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-26,14-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,32 min,28 - 44 min
2022-07-26,14-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 43 min
2022-07-26,14-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,28 - 44 min
2022-07-26,15-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 43 min
2022-07-26,15-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,32 min,29 - 46 min
2022-07-26,15-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-26,15-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,33 min,31 - 54 min
2022-07-26,15-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-26,15-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,39 min,32 min - 1 hr 3 min
2022-07-26,15-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 43 min
2022-07-26,15-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,42 min,33 min - 1 hr 7 min
2022-07-26,16-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,33 min,28 - 46 min
2022-07-26,16-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.9 km,36 min,43 min,36 min - 1 hr
2022-07-26,16-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,28 - 49 min
2022-07-26,16-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.0 km,36 min,46 min,37 min - 1 hr 9 min
2022-07-26,16-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,36 min,29 - 53 min
2022-07-26,16-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.0 km,36 min,55 min,40 min - 1 hr 16 min
2022-07-26,16-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,42 min,29 - 52 min
2022-07-26,16-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,56 min,40 min - 1 hr 19 min
2022-07-26,17-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,50 min,29 - 54 min
2022-07-26,17-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,1 hr 2 min,40 min - 1 hr 13 min
2022-07-26,17-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,44 min,28 - 49 min
2022-07-26,17-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,57 min,39 min - 1 hr 10 min
2022-07-26,17-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,43 min,28 - 45 min
2022-07-26,17-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,50 min,36 min - 1 hr 4 min
2022-07-26,17-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,37 min,27 - 42 min
2022-07-26,17-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,43 min,33 - 57 min
2022-07-26,18-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,27 - 42 min
